Position,Level,Salary,Log_Salary,Normalized_Salary
Intern,0.5,30000,10.308985993422082,0.0
Trainee,1.0,35000,10.463131911491967,0.018585195905497044
Business Analyst,1.5,45000,10.714439990727769,0.048885121740147086
Junior Consultant,2.0,50000,10.819798284210286,0.061588049908207265
Consultant,2.5,55000,10.915106645867501,0.07307926936449056
Senior Consultant,3.0,60000,11.002116507732017,0.08356994825310782
Lead Consultant,3.5,70000,11.156264806643742,0.10215543121396496
Manager,4.0,80000,11.289794413577894,0.11825494221710499
Senior Manager,4.5,95000,11.461642696843066,0.13897449191714045
Country Manager,5.0,110000,11.608244735642321,0.1566501309826795
Associate Director,5.5,125000,11.736077016252437,0.17206272190907934
Region Manager,6.0,150000,11.918397239722838,0.19404486138548876
Senior Region Manager,6.5,175000,12.072546967175038,0.21263051658382662
Partner,7.0,200000,12.206077645517674,0.22873015676545425
Associate Partner,7.5,230000,12.345838935721968,0.24558101464723234
Senior Partner,8.0,300000,12.611541086966115,0.2776164171750222
Executive Director,8.5,375000,12.834683971615659,0.30452049791914754
C-level,9.0,500000,13.122365377402328,0.3392059138669773
Deputy CEO,9.5,750000,13.527829818844937,0.38809229484469093
CEO,10.0,1000000,13.815511557963774,0.4227777509819964
Board Member,10.5,1200000,13.997832948091215,0.44476003112090234
Vice Chairman,11.0,1500000,14.220976332738882,0.4716641721492258
Chairman,11.5,1800000,14.403297778421793,0.4936464589863908
Industry Advisor,12.0,2200000,14.603968372873895,0.5178410815690921
Business Owner,12.5,2600000,14.77102238760702,0.5379825918308646
Investor,13.0,3000000,14.914123179965662,0.5552360896433169
Angel Investor,13.5,3500000,15.068273812173887,0.5738218539270472
Venture Capitalist,14.0,4000000,15.201805169084134,0.5899215759227906
Private Equity Partner,14.5,5000000,15.424948670398354,0.6168257310174662
Hedge Fund Manager,15.0,6000000,15.607270193858982,0.6388080272322009
Investment Banker,15.5,7000000,15.76142084987672,0.6573937943866167
Philanthropist,16.0,8000000,15.894952224644102,0.6734935185353744
Entrepreneur,16.5,9000000,16.012735246411598,0.6876944818907447
Tech Founder,17.0,10000000,16.118095750958314,0.7003976766442702
Unicorn Founder,17.5,12000000,16.300417291085605,0.7223799748684853
Billionaire CEO,18.0,14000000,16.454567959008102,0.7409657434582443
Wealthy Investor,18.5,16000000,16.58809934270405,0.757065468683509
Global Business Leader,19.0,18000000,16.705882371415992,0.7712664328761629
Corporate Titan,19.5,20000000,16.811242881518265,0.7839696282995154
Financial Mogul,20.0,25000000,17.034386422832473,0.8108737882169434
Tech Mogul,20.5,30000000,17.21670797295976,0.8328560876468467
Business Legend,21.0,35000000,17.370858648025116,0.851441857097812
Empire Builder,21.5,40000000,17.50439003707821,0.8675415829689814
Elite Investor,22.0,50000000,17.727533583392418,0.8944457434892537
World Influencer,22.5,60000000,17.90985513685304,0.9164280433210531
Top 1% Entrepreneur,23.0,75000000,18.132998684833918,0.9433322040422739
Forbes Billionaire,23.5,100000000,18.420680753952364,0.9780176999672524
Global Icon,24.0,120000000,18.603002309079653,1.0
