Position,Level,Salary,Years of Experience
Intern,0.5,30000,4
Trainee,1.0,35000,8
Business Analyst,1.5,45000,12
Junior Consultant,2.0,50000,18
Consultant,2.5,55000,25
Senior Consultant,3.0,60000,25
Lead Consultant,3.5,70000,30
Manager,4.0,80000,34
Senior Manager,4.5,95000,37
Country Manager,5.0,110000,41
Associate Director,5.5,125000,43
Region Manager,6.0,150000,43
Senior Region Manager,6.5,175000,47
Partner,7.0,200000,45
Associate Partner,7.5,230000,48
Senior Partner,8.0,300000,47
Executive Director,8.5,375000,49
C-level,9.0,500000,50
Deputy CEO,9.5,750000,46
CEO,10.0,1000000,49
Board Member,10.5,1200000,47
Vice Chairman,11.0,1500000,50
Chairman,11.5,1800000,49
Industry Advisor,12.0,2200000,46
Business Owner,12.5,2600000,46
Investor,13.0,3000000,48
Angel Investor,13.5,3500000,48
Venture Capitalist,14.0,4000000,47
Private Equity Partner,14.5,5000000,49
Hedge Fund Manager,15.0,6000000,49
Investment Banker,15.5,7000000,48
Philanthropist,16.0,8000000,49
Entrepreneur,16.5,9000000,49
Tech Founder,17.0,10000000,46
Unicorn Founder,17.5,12000000,48
Billionaire CEO,18.0,14000000,50
Wealthy Investor,18.5,16000000,48
Global Business Leader,19.0,18000000,50
Corporate Titan,19.5,20000000,46
Financial Mogul,20.0,25000000,47
Tech Mogul,20.5,30000000,49
Business Legend,21.0,35000000,46
Empire Builder,21.5,40000000,49
Elite Investor,22.0,50000000,47
World Influencer,22.5,60000000,47
Top 1% Entrepreneur,23.0,75000000,46
Forbes Billionaire,23.5,100000000,47
Global Icon,24.0,120000000,50
