Date,Person_ID,Age,Gender,Sleep Start Time,Sleep End Time,Total Sleep Hours,Sleep Quality,Exercise (mins/day),Caffeine Intake (mg),Screen Time Before Bed (mins),Work Hours (hrs/day),Productivity Score,Mood Score,Stress Level
2025-02-01,1,25,M,23.0,7.0,8.0,7,45,100,60,2.0,30,6,8
2025-02-02,2,30,F,22.5,6.5,8.0,8,50,150,50,3.0,50,7,6
2025-02-03,3,28,M,23.5,6.5,7.0,6,30,200,70,4.0,65,5,7
2025-02-04,4,35,F,22.0,6.0,8.0,9,60,80,40,5.0,80,8,5
2025-02-05,5,40,M,23.0,5.5,6.5,5,20,250,90,6.0,85,4,9
2025-02-06,6,29,F,22.5,6.5,8.0,7,55,120,50,7.0,88,6,6
2025-02-07,7,32,M,23.0,7.0,8.0,8,40,180,45,8.0,90,7,4
2025-02-08,8,27,F,23.5,6.0,6.5,5,25,300,80,9.0,85,4,8
2025-02-09,9,33,M,22.0,6.0,8.0,9,50,100,40,10.0,78,6,5
2025-02-10,10,31,F,23.0,6.5,7.5,7,35,150,60,11.0,70,5,7
2025-02-11,11,26,M,22.5,6.0,7.5,6,45,200,55,12.0,55,4,9
2025-02-12,12,29,F,23.0,7.0,8.0,8,60,90,30,13.0,40,3,10
2025-02-13,13,34,M,22.0,6.5,8.5,9,35,120,40,14.0,25,2,9
2025-02-14,14,30,F,23.5,6.0,6.5,5,20,250,75,15.0,10,1,10
2025-02-15,15,28,M,23.0,7.0,8.0,7,45,100,60,2.0,32,7,7
2025-02-16,16,35,F,22.5,6.5,8.0,8,50,150,50,3.0,55,6,6
2025-02-17,17,40,M,23.5,6.5,7.0,6,30,200,70,4.0,68,5,7
2025-02-18,18,27,F,22.0,6.0,8.0,9,60,80,40,5.0,82,8,5
2025-02-19,19,33,M,23.0,5.5,6.5,5,20,250,90,6.0,84,4,9
2025-02-20,20,29,F,22.5,6.5,8.0,7,55,120,50,7.0,87,6,6
2025-02-21,21,32,M,23.0,7.0,8.0,8,40,180,45,8.0,90,7,4
2025-02-22,22,26,F,23.5,6.0,6.5,5,25,300,80,9.0,86,4,8
2025-02-23,23,31,M,22.0,6.0,8.0,9,50,100,40,10.0,79,6,5
2025-02-24,24,29,F,23.0,6.5,7.5,7,35,150,60,11.0,72,5,7
2025-02-25,25,34,M,22.5,6.0,7.5,6,45,200,55,12.0,58,4,9
2025-02-26,26,30,F,23.0,7.0,8.0,8,60,90,30,13.0,42,3,10
2025-02-27,27,40,M,22.0,6.5,8.5,9,35,120,40,14.0,28,2,9
2025-02-28,28,28,F,23.5,6.0,6.5,5,20,250,75,15.0,12,1,10
2025-02-29,29,33,M,23.0,7.0,8.0,7,45,100,60,2.0,30,7,7
2025-03-01,30,31,F,22.5,6.5,8.0,8,50,150,50,3.0,52,6,6
2025-03-02,31,35,M,23.5,6.5,7.0,6,30,200,70,4.0,66,5,7
2025-03-03,32,26,F,22.0,6.0,8.0,9,60,80,40,5.0,81,8,5
2025-03-04,33,29,M,23.0,5.5,6.5,5,20,250,90,6.0,83,4,9
2025-03-05,34,32,F,22.5,6.5,8.0,7,55,120,50,7.0,85,6,6
2025-03-06,35,28,M,23.0,7.0,8.0,8,40,180,45,8.0,89,7,4
2025-03-07,36,34,F,23.5,6.0,6.5,5,25,300,80,9.0,84,4,8
2025-03-08,37,31,M,22.0,6.0,8.0,9,50,100,40,10.0,77,6,5
2025-03-09,38,27,F,23.0,6.5,7.5,7,35,150,60,11.0,71,5,7
2025-03-10,39,40,M,22.5,6.0,7.5,6,45,200,55,12.0,56,4,9
2025-03-11,40,29,F,23.0,7.0,8.0,8,60,90,30,13.0,38,3,10
2025-03-12,41,35,M,22.0,6.5,8.5,9,35,120,40,14.0,24,2,9
2025-03-13,42,26,F,23.5,6.0,6.5,5,20,250,75,15.0,9,1,10
